case,cores,candidate,operation,makespan,added_copy_bytes,cache_hit_rate,accepted
case_017,5,private_cache_affinity,private_cache_affinity,31310,696160,0.22431208952075676,True
case_017,5,l2_scatter_0,l2_scatter,33561,721800,0.1687445043762346,False
case_017,5,l2_scatter_1,l2_scatter,33479,695688,0.16371444391738707,False
case_017,5,fifo_reuse_reorder,reuse_window_reorder,32430,724872,0.1750373001214341,False
case_018,1,baseline_a_problem2_plan,problem2_plan,1003110,1970176,0.34375031576536474,True
case_018,2,baseline_a_problem2_plan,problem2_plan,499576,6304768,0.25633512129842,True
case_018,2,private_cache_affinity,private_cache_affinity,508072,6304768,0.25260117925474307,False
case_018,2,l2_scatter_0,l2_scatter,511766,6378496,0.25992088726974855,False
case_018,2,l2_scatter_1,l2_scatter,512502,6362112,0.25735641753925664,False
case_018,2,fifo_reuse_reorder,reuse_window_reorder,511510,6386688,0.2597297784389991,False
case_018,2,adaptive_partition_l2,adaptive_partition,511941,6386688,0.26120029381586535,False
case_018,3,baseline_a_problem2_plan,problem2_plan,334741,7473152,0.376545645209185,True
case_018,3,direct_affinity,direct_affinity,335356,7424128,0.36853455707144916,False
case_018,3,private_cache_affinity,private_cache_affinity,336671,5298432,0.22484830824992258,False
case_018,3,l2_scatter_0,l2_scatter,339249,7481344,0.36891671527455483,False
case_018,3,l2_scatter_1,l2_scatter,339009,7489536,0.368689454284695,False
case_018,3,fifo_reuse_reorder,reuse_window_reorder,338111,7481344,0.3750807372507379,False
case_018,3,adaptive_partition_l2,adaptive_partition,340957,7497856,0.36190972349639927,False
case_018,4,baseline_a_problem2_plan,problem2_plan,252971,8522240,0.46779218689218754,True
case_018,4,direct_affinity,direct_affinity,252721,8678528,0.4690304638789064,True
case_018,4,private_cache_affinity,private_cache_affinity,254303,6872192,0.34886138758165913,False
case_018,4,l2_scatter_0,l2_scatter,257257,8510592,0.4629920241895808,False
case_018,4,l2_scatter_1,l2_scatter,257257,8510592,0.4624666990548765,False
case_018,4,fifo_reuse_reorder,reuse_window_reorder,257257,8510592,0.4629920241895808,False
case_018,4,adaptive_partition_l2,adaptive_partition,257160,8735872,0.45785475225632155,False
case_018,5,baseline_a_problem2_plan,problem2_plan,207664,4993032,0.5720484497748429,True
case_018,5,direct_affinity,direct_affinity,213170,5148680,0.5097767898995916,False
case_018,5,private_cache_affinity,private_cache_affinity,213183,5042188,0.5136376831297144,False
case_018,5,l2_scatter_0,l2_scatter,276050,4825116,0.5856991384400455,False
