case,cores,status,makespan_cycles,added_copy_bytes,speedup,spill_added_copy_bytes,official_evals,solver_seconds,plan_file,result_file
case_055,4,scored,29108,645836,4.082554624,0,11,11.677,results_problem2/case_055_4cores/best_plan.json,
case_055,5,scored,25709,215040,4.622311253,0,12,11.791,results_problem2/case_055_5cores/best_plan.json,
case_056,1,singlecore_reference,277285,0,1.000000000,,0,0,,
case_056,2,scored,142509,424494,1.945736760,0,8,53.560,results_problem2/case_056_2cores/best_plan.json,
case_056,3,scored,94769,587880,2.925904040,0,11,73.290,results_problem2/case_056_3cores/best_plan.json,
case_056,4,scored,75353,1277590,3.679813677,0,11,74.717,results_problem2/case_056_4cores/best_plan.json,
case_056,5,scored,62046,1148046,4.469022983,0,11,72.699,results_problem2/case_056_5cores/best_plan.json,
case_057,1,singlecore_reference,59726,0,1.000000000,,0,0,,
case_057,2,scored,31206,14112,1.913926809,0,12,7.402,results_problem2/case_057_2cores/best_plan.json,
case_057,3,scored,21429,251588,2.787157590,0,11,8.045,results_problem2/case_057_3cores/best_plan.json,
case_057,4,scored,16406,241120,3.640497379,0,11,8.455,results_problem2/case_057_4cores/best_plan.json,
case_057,5,scored,14028,14400,4.257627602,0,11,7.271,results_problem2/case_057_5cores/best_plan.json,
case_058,1,singlecore_reference,4539717,0,1.000000000,,0,0,,
